first_author,group,group_start,number_authors,sdi,times_cited,journal,pub_year,velocity,grant_product
False,B,2007,6,0,0,CRIT. CARE MED.,2015,0,Post
False,B,2007,6,0,0,J. NEUROTRAUMA,2013,0,Post
False,B,2007,4,0,0,ABSTR. PAP. AM. CHEM. SOC.,2012,0,Post
False,B,2007,4,0.405,0,NEW J. CHEM.,2017,0,Post
False,B,2007,3,0.268768404907975,0,MICROPOROUS MESOPOROUS MAT.,2017,0,Post
False,B,2007,8,0,0,INVEST. OPHTHALMOL. VIS. SCI.,2015,0,Post
False,B,2007,4,0.572872727272727,0,MACROMOL. BIOSCI.,2016,0,Post
False,B,2007,5,0.493625,0,RSC ADV.,2017,0,Post
False,B,2007,3,0,0,FASEB J.,2012,0,Post
False,B,2007,5,0.386063636363636,0,LANGMUIR,2017,0,Post
False,B,2007,2,0.50416384180791,0,J. NANOPART. RES.,2017,0,Post
False,B,2007,5,0.220451476793249,0,STRUCTURE,2017,0,Post
False,B,2007,6,0,0,FASEB J.,2011,0,Post
False,B,2007,3,0.355308823529412,0,ACS APPL. MATER. INTERFACES,2017,0,Post
False,B,2007,4,0,0,MED. SCI. SPORTS EXERC.,2013,0,Post
False,B,2007,11,0,0,FASEB J.,2017,0,Post
False,B,2007,2,0.380537254901961,0,J. PHARM. SCI.,2017,0,Post
False,B,2007,7,0,0,ABSTR. PAP. AM. CHEM. SOC.,2008,0,Post
False,B,2007,17,0,0,DRUG METAB. PHARMACOKINET.,2017,0,Post
False,B,2007,2,0,0,ABSTR. PAP. AM. CHEM. SOC.,2008,0,Post
False,B,2007,4,0.470887005649717,0,COLLOID SURF. B-BIOINTERFACES,2010,0,Post
False,B,2007,2,0.278107843137255,0,IEEE TRANS. NANOTECHNOL.,2012,0,Post
False,B,2007,6,0.473228571428572,0,INT. J. PHARM.,2017,0,Post
False,B,2007,5,0.496770491803279,0,J. MEMBR. SCI.,2017,0,Post
False,B,2007,4,0.388357142857143,0,PEDIATR. EMERG. CARE,2016,0,Post
False,B,2007,4,0,0,ABSTR. PAP. AM. CHEM. SOC.,2013,0,Post
False,B,2007,6,0,0,J. NEUROTRAUMA,2009,0,Post
False,B,2007,5,0,0,FASEB J.,2016,0,Post
False,B,2007,3,0.507897959183673,0,FRONT. CHEM. SCI. ENG.,2015,0,Post
False,B,2007,11,0,0,J. IMMUNOL.,2009,0,Post
False,B,2007,6,0.149916666666667,0,IMPLANT DENT.,2017,0,Post
False,B,2007,4,0,0,ABSTR. PAP. AM. CHEM. SOC.,2012,0,Post
False,B,2007,3,0,0,J. NEUROTRAUMA,2015,0,Post
False,B,2007,4,0.545097222222222,0,INT. J. POLYM. MATER. POLYM. BIOMAT.,2017,0,Post
False,B,2007,2,0,0,FASEB J.,2011,0,Post
False,B,2007,5,0.371333333333333,0,AAPS PHARMSCITECH,2010,0,Post
False,B,2007,9,0.266925373134328,0,CHEMISTRYSELECT,2017,0,Post
False,B,2007,5,0.168319444444444,0,PROTEINS,2017,0,Post
False,B,2007,2,0,0,ABSTR. PAP. AM. CHEM. SOC.,2012,0,Post
